algorithm,distribution,n,trial,time_s
Bubble Sort,sorted,1000,10,6.2e-05
Bubble Sort,sorted,1000,11,6.3e-05
Bubble Sort,sorted,1000,12,6.2e-05
Bubble Sort,sorted,1000,13,7.1e-05
Bubble Sort,sorted,1000,14,6.3e-05
Bubble Sort,sorted,5000,0,0.000412
Bubble Sort,sorted,5000,1,0.000348
Bubble Sort,sorted,5000,2,0.000352
Bubble Sort,sorted,5000,3,0.000388
Bubble Sort,sorted,5000,4,0.000343
Bubble Sort,sorted,5000,5,0.000351
Bubble Sort,sorted,5000,6,0.000344
Bubble Sort,sorted,5000,7,0.000336
Bubble Sort,sorted,5000,8,0.00034
Bubble Sort,sorted,5000,9,0.000337
Bubble Sort,sorted,5000,10,0.000362
Bubble Sort,sorted,5000,11,0.000338
Bubble Sort,sorted,5000,12,0.000348
Bubble Sort,sorted,5000,13,0.000335
Bubble Sort,sorted,5000,14,0.000345
Bubble Sort,sorted,10000,0,0.001066
Bubble Sort,sorted,10000,1,0.000745
Bubble Sort,sorted,10000,2,0.000721
Bubble Sort,sorted,10000,3,0.000716
Bubble Sort,sorted,10000,4,0.000717
Bubble Sort,sorted,10000,5,0.000687
Bubble Sort,sorted,10000,6,0.000699
Bubble Sort,sorted,10000,7,0.000719
Bubble Sort,sorted,10000,8,0.000767
Bubble Sort,sorted,10000,9,0.000725
Bubble Sort,sorted,10000,10,0.000715
Bubble Sort,sorted,10000,11,0.000718
Bubble Sort,sorted,10000,12,0.000775
Bubble Sort,sorted,10000,13,0.000729
Bubble Sort,sorted,10000,14,0.000722
Bubble Sort,reverse,100,0,0.000495
Bubble Sort,reverse,100,1,0.000457
Bubble Sort,reverse,100,2,0.000465
Bubble Sort,reverse,100,3,0.000456
Bubble Sort,reverse,100,4,0.000472
Bubble Sort,reverse,100,5,0.000479
Bubble Sort,reverse,100,6,0.00046
Bubble Sort,reverse,100,7,0.000459
Bubble Sort,reverse,100,8,0.000452
Bubble Sort,reverse,100,9,0.000498
Bubble Sort,reverse,100,10,0.000438
Bubble Sort,reverse,100,11,0.000509
Bubble Sort,reverse,100,12,0.000441
Bubble Sort,reverse,100,13,0.000518
Bubble Sort,reverse,100,14,0.000461
Bubble Sort,reverse,500,0,0.012889
Bubble Sort,reverse,500,1,0.01307
Bubble Sort,reverse,500,2,0.015017
Bubble Sort,reverse,500,3,0.013094
Bubble Sort,reverse,500,4,0.013276
Bubble Sort,reverse,500,5,0.013803
Bubble Sort,reverse,500,6,0.013683
Bubble Sort,reverse,500,7,0.013132
Bubble Sort,reverse,500,8,0.013395
Bubble Sort,reverse,500,9,0.013365
Bubble Sort,reverse,500,10,0.013075
Bubble Sort,reverse,500,11,0.012977
Bubble Sort,reverse,500,12,0.021075
Bubble Sort,reverse,500,13,0.020158
Bubble Sort,reverse,500,14,0.013912
Bubble Sort,reverse,1000,0,0.06521
Bubble Sort,reverse,1000,1,0.059083
Bubble Sort,reverse,1000,2,0.061287
Bubble Sort,reverse,1000,3,0.061131
Bubble Sort,reverse,1000,4,0.06559
Bubble Sort,reverse,1000,5,0.063597
Bubble Sort,reverse,1000,6,0.06041
Bubble Sort,reverse,1000,7,0.059294
Bubble Sort,reverse,1000,8,0.061573
Bubble Sort,reverse,1000,9,0.059238
Bubble Sort,reverse,1000,10,0.060556
Bubble Sort,reverse,1000,11,0.059107
Bubble Sort,reverse,1000,12,0.06044
Bubble Sort,reverse,1000,13,0.058972
Bubble Sort,reverse,1000,14,0.060582
Bubble Sort,reverse,5000,0,1.733572
Bubble Sort,reverse,5000,1,2.299468
Bubble Sort,reverse,5000,2,2.610767
Bubble Sort,reverse,5000,3,1.766044
Bubble Sort,reverse,5000,4,1.726749
Bubble Sort,reverse,5000,5,1.800367
Bubble Sort,reverse,5000,6,1.714319
Bubble Sort,reverse,5000,7,1.80916
Bubble Sort,reverse,5000,8,3.166091
Bubble Sort,reverse,5000,9,1.829244
Bubble Sort,reverse,5000,10,1.794291
Bubble Sort,reverse,5000,11,1.756707
Bubble Sort,reverse,5000,12,1.797828
Bubble Sort,reverse,5000,13,1.780063
Bubble Sort,reverse,5000,14,2.38763
Bubble Sort,reverse,10000,0,8.055944
Bubble Sort,reverse,10000,1,8.657624
Bubble Sort,reverse,10000,2,7.231996
Bubble Sort,reverse,10000,3,8.603258
Bubble Sort,reverse,10000,4,8.668428
Bubble Sort,reverse,10000,5,7.335524
Bubble Sort,reverse,10000,6,8.592123
Bubble Sort,reverse,10000,7,8.488843
Bubble Sort,reverse,10000,8,7.46157
Bubble Sort,reverse,10000,9,8.660098
Bubble Sort,reverse,10000,10,7.389421
Bubble Sort,reverse,10000,11,8.522263
Bubble Sort,reverse,10000,12,8.684534
Bubble Sort,reverse,10000,13,7.283009
Bubble Sort,reverse,10000,14,8.654409
Bubble Sort,nearly_sorted,100,0,1.2e-05
Bubble Sort,nearly_sorted,100,1,1e-05
Bubble Sort,nearly_sorted,100,2,9e-06
Bubble Sort,nearly_sorted,100,3,1.3e-05
Bubble Sort,nearly_sorted,100,4,1.3e-05
Bubble Sort,nearly_sorted,100,5,9e-06
Bubble Sort,nearly_sorted,100,6,1e-05
Bubble Sort,nearly_sorted,100,7,9e-06
Bubble Sort,nearly_sorted,100,8,1.3e-05
Bubble Sort,nearly_sorted,100,9,9e-06
Bubble Sort,nearly_sorted,100,10,9e-06
Bubble Sort,nearly_sorted,100,11,1.3e-05
Bubble Sort,nearly_sorted,100,12,9e-06
Bubble Sort,nearly_sorted,100,13,9e-06
Bubble Sort,nearly_sorted,100,14,4.9e-05
Bubble Sort,nearly_sorted,500,0,5.9e-05
Bubble Sort,nearly_sorted,500,1,6.2e-05
Bubble Sort,nearly_sorted,500,2,5.6e-05
Bubble Sort,nearly_sorted,500,3,5.6e-05
Bubble Sort,nearly_sorted,500,4,6.4e-05
Bubble Sort,nearly_sorted,500,5,5.6e-05
Bubble Sort,nearly_sorted,500,6,8.1e-05
Bubble Sort,nearly_sorted,500,7,8.2e-05
Bubble Sort,nearly_sorted,500,8,5.5e-05
Bubble Sort,nearly_sorted,500,9,6.6e-05
Bubble Sort,nearly_sorted,500,10,5.6e-05
Bubble Sort,nearly_sorted,500,11,8.1e-05
Bubble Sort,nearly_sorted,500,12,8.2e-05
Bubble Sort,nearly_sorted,500,13,5.6e-05
Bubble Sort,nearly_sorted,500,14,5.8e-05
Bubble Sort,nearly_sorted,1000,0,0.000126
Bubble Sort,nearly_sorted,1000,1,0.00018
Bubble Sort,nearly_sorted,1000,2,0.000187
Bubble Sort,nearly_sorted,1000,3,0.000176
Bubble Sort,nearly_sorted,1000,4,0.000186
Bubble Sort,nearly_sorted,1000,5,0.000119
Bubble Sort,nearly_sorted,1000,6,0.000195
Bubble Sort,nearly_sorted,1000,7,0.000124
Bubble Sort,nearly_sorted,1000,8,0.000182
Bubble Sort,nearly_sorted,1000,9,0.000121
Bubble Sort,nearly_sorted,1000,10,0.000124
Bubble Sort,nearly_sorted,1000,11,0.000221
Bubble Sort,nearly_sorted,1000,12,0.000129
Bubble Sort,nearly_sorted,1000,13,0.000182
Bubble Sort,nearly_sorted,1000,14,0.000126
Bubble Sort,nearly_sorted,5000,0,0.001032
Bubble Sort,nearly_sorted,5000,1,0.000674
Bubble Sort,nearly_sorted,5000,2,0.001001
Bubble Sort,nearly_sorted,5000,3,0.000691
Bubble Sort,nearly_sorted,5000,4,0.000677
Bubble Sort,nearly_sorted,5000,5,0.000724
Bubble Sort,nearly_sorted,5000,6,0.000684
Bubble Sort,nearly_sorted,5000,7,0.001009
Bubble Sort,nearly_sorted,5000,8,0.000684
Bubble Sort,nearly_sorted,5000,9,0.001032
Bubble Sort,nearly_sorted,5000,10,0.000822
Bubble Sort,nearly_sorted,5000,11,0.000928
Bubble Sort,nearly_sorted,5000,12,0.001787
Bubble Sort,nearly_sorted,5000,13,0.001156
Bubble Sort,nearly_sorted,5000,14,0.001082
Bubble Sort,nearly_sorted,10000,0,0.002078
Bubble Sort,nearly_sorted,10000,1,0.001461
Bubble Sort,nearly_sorted,10000,2,0.002059
Bubble Sort,nearly_sorted,10000,3,0.00145
Bubble Sort,nearly_sorted,10000,4,0.001384
Bubble Sort,nearly_sorted,10000,5,0.002135
Bubble Sort,nearly_sorted,10000,6,0.002041
Bubble Sort,nearly_sorted,10000,7,0.00204
Bubble Sort,nearly_sorted,10000,8,0.001382
Bubble Sort,nearly_sorted,10000,9,0.001686
Bubble Sort,nearly_sorted,10000,10,0.001454
Bubble Sort,nearly_sorted,10000,11,0.002138
Bubble Sort,nearly_sorted,10000,12,0.001456
Bubble Sort,nearly_sorted,10000,13,0.002064
Bubble Sort,nearly_sorted,10000,14,0.002099
Bubble Sort,constant,100,0,7e-06
Bubble Sort,constant,100,1,5e-06
Bubble Sort,constant,100,2,5e-06
Bubble Sort,constant,100,3,5e-06
Bubble Sort,constant,100,4,5e-06
Bubble Sort,constant,100,5,5e-06
Bubble Sort,constant,100,6,5e-06
Bubble Sort,constant,100,7,5e-06
Bubble Sort,constant,100,8,5e-06
Bubble Sort,constant,100,9,5e-06
Bubble Sort,constant,100,10,5e-06
Bubble Sort,constant,100,11,5e-06
Bubble Sort,constant,100,12,5e-06
Bubble Sort,constant,100,13,5e-06
Bubble Sort,constant,100,14,5e-06
Bubble Sort,constant,500,0,3.7e-05
Bubble Sort,constant,500,1,2.8e-05
Bubble Sort,constant,500,2,2.8e-05
Bubble Sort,constant,500,3,2.8e-05
Bubble Sort,constant,500,4,2.8e-05
Bubble Sort,constant,500,5,2.8e-05
Bubble Sort,constant,500,6,2.8e-05
Bubble Sort,constant,500,7,2.7e-05
Bubble Sort,constant,500,8,2.7e-05
Bubble Sort,constant,500,9,2.8e-05
Bubble Sort,constant,500,10,2.8e-05
Bubble Sort,constant,500,11,2.8e-05
Bubble Sort,constant,500,12,2.7e-05
Bubble Sort,constant,500,13,2.7e-05
Bubble Sort,constant,500,14,2.8e-05
Bubble Sort,constant,1000,0,6.7e-05
Bubble Sort,constant,1000,1,5.8e-05
Bubble Sort,constant,1000,2,5.9e-05
Bubble Sort,constant,1000,3,5.9e-05
Bubble Sort,constant,1000,4,6.6e-05
Bubble Sort,constant,1000,5,5.9e-05
Bubble Sort,constant,1000,6,6.2e-05
Bubble Sort,constant,1000,7,5.8e-05
Bubble Sort,constant,1000,8,5.9e-05
Bubble Sort,constant,1000,9,5.9e-05
Bubble Sort,constant,1000,10,5.9e-05
Bubble Sort,constant,1000,11,5.9e-05
Bubble Sort,constant,1000,12,5.8e-05
Bubble Sort,constant,1000,13,9.4e-05
Bubble Sort,constant,1000,14,5.9e-05
Bubble Sort,constant,5000,0,0.000337
Bubble Sort,constant,5000,1,0.000341
Bubble Sort,constant,5000,2,0.00038
Bubble Sort,constant,5000,3,0.00034
Bubble Sort,constant,5000,4,0.000346
Bubble Sort,constant,5000,5,0.000336
Bubble Sort,constant,5000,6,0.00034
Bubble Sort,constant,5000,7,0.000336
Bubble Sort,constant,5000,8,0.000334
Bubble Sort,constant,5000,9,0.000334
Bubble Sort,constant,5000,10,0.000343
Bubble Sort,constant,5000,11,0.000332
Bubble Sort,constant,5000,12,0.000361
Bubble Sort,constant,5000,13,0.000344
Bubble Sort,constant,5000,14,0.00033
Bubble Sort,constant,10000,0,0.000752
Bubble Sort,constant,10000,1,0.000748
Bubble Sort,constant,10000,2,0.000699
Bubble Sort,constant,10000,3,0.000683
Bubble Sort,constant,10000,4,0.000721
Bubble Sort,constant,10000,5,0.000708
Bubble Sort,constant,10000,6,0.000748
Bubble Sort,constant,10000,7,0.000716
Bubble Sort,constant,10000,8,0.000695
Bubble Sort,constant,10000,9,0.000699
Bubble Sort,constant,10000,10,0.000701
Bubble Sort,constant,10000,11,0.000767
Bubble Sort,constant,10000,12,0.000694
Bubble Sort,constant,10000,13,0.000704
Bubble Sort,constant,10000,14,0.000703
Merge Sort,random,100,0,0.000148
Merge Sort,random,100,1,0.000134
Merge Sort,random,100,2,0.000132
Merge Sort,random,100,3,0.000137
Merge Sort,random,100,4,0.000131
Merge Sort,random,100,5,0.00015
Merge Sort,random,100,6,0.000129
Merge Sort,random,100,7,0.000129
Merge Sort,random,100,8,0.00013
Merge Sort,random,100,9,0.00013
Merge Sort,random,100,10,0.000138
Merge Sort,random,100,11,0.000129
Merge Sort,random,100,12,0.000139
Merge Sort,random,100,13,0.000137
Merge Sort,random,100,14,0.000129
Merge Sort,random,500,0,0.000941
Merge Sort,random,500,1,0.000864
Merge Sort,random,500,2,0.001214
Merge Sort,random,500,3,0.001496
Merge Sort,random,500,4,0.001257
Merge Sort,random,500,5,0.000916
Merge Sort,random,500,6,0.000903
Merge Sort,random,500,7,0.000929
Merge Sort,random,500,8,0.000901
Merge Sort,random,500,9,0.000904
Merge Sort,random,500,10,0.000892
Merge Sort,random,500,11,0.000887
Merge Sort,random,500,12,0.000872
Merge Sort,random,500,13,0.000857
Merge Sort,random,500,14,0.000877
Merge Sort,random,1000,0,0.001946
Merge Sort,random,1000,1,0.00193
Merge Sort,random,1000,2,0.001905
Merge Sort,random,1000,3,0.002237
Merge Sort,random,1000,4,0.002353
Merge Sort,random,1000,5,0.002387
Merge Sort,random,1000,6,0.002471
Merge Sort,random,1000,7,0.002328
Merge Sort,random,1000,8,0.002327
Merge Sort,random,1000,9,0.002335
Merge Sort,random,1000,10,0.002242
Merge Sort,random,1000,11,0.001996
Merge Sort,random,1000,12,0.001944
Merge Sort,random,1000,13,0.001923
Merge Sort,random,1000,14,0.001979
Merge Sort,random,5000,0,0.012255
Merge Sort,random,5000,1,0.012457
Merge Sort,random,5000,2,0.012136
Merge Sort,random,5000,3,0.012319
Merge Sort,random,5000,4,0.012286
Merge Sort,random,5000,5,0.01235
Merge Sort,random,5000,6,0.017414
Merge Sort,random,5000,7,0.012271
Merge Sort,random,5000,8,0.012051
Merge Sort,random,5000,9,0.012635
Merge Sort,random,5000,10,0.012217
Merge Sort,random,5000,11,0.012204
Merge Sort,random,5000,12,0.012192
Merge Sort,random,5000,13,0.012574
Merge Sort,random,5000,14,0.012103
Merge Sort,random,10000,0,0.044302
Merge Sort,random,10000,1,0.026689
Merge Sort,random,10000,2,0.027361
Merge Sort,random,10000,3,0.026907
Merge Sort,random,10000,4,0.027097
Merge Sort,random,10000,5,0.026372
Merge Sort,random,10000,6,0.026727
Merge Sort,random,10000,7,0.030986
Merge Sort,random,10000,8,0.027144
Merge Sort,random,10000,9,0.026695
Merge Sort,random,10000,10,0.02734
Merge Sort,random,10000,11,0.026851
Merge Sort,random,10000,12,0.026739
Merge Sort,random,10000,13,0.02694
Merge Sort,random,10000,14,0.027293
Merge Sort,random,50000,0,0.159499
Merge Sort,random,50000,1,0.161241
Merge Sort,random,50000,2,0.182626
Merge Sort,random,50000,3,0.159689
Merge Sort,random,50000,4,0.156701
Merge Sort,random,50000,5,0.1603
Merge Sort,random,50000,6,0.160092
Merge Sort,random,50000,7,0.161312
Merge Sort,random,50000,8,0.159314
Merge Sort,random,50000,9,0.159241
Merge Sort,random,50000,10,0.159642
Merge Sort,random,50000,11,0.166443
Merge Sort,random,50000,12,0.157435
Merge Sort,random,50000,13,0.175733
Merge Sort,random,50000,14,0.156021
Merge Sort,random,100000,0,0.371702
Merge Sort,random,100000,1,0.363867
Merge Sort,random,100000,2,0.345694
Merge Sort,random,100000,3,0.615446
Merge Sort,random,100000,4,0.661083
Merge Sort,random,100000,5,0.681414
Merge Sort,random,100000,6,0.617406
Merge Sort,random,100000,7,0.367323
Merge Sort,random,100000,8,0.361476
Merge Sort,random,100000,9,0.35934
Merge Sort,random,100000,10,0.35457
Merge Sort,random,100000,11,0.374926
Merge Sort,random,100000,12,0.353784
Merge Sort,random,100000,13,0.362208
Merge Sort,random,100000,14,0.356749
Merge Sort,sorted,100,0,0.000117
Merge Sort,sorted,100,1,0.000108
Merge Sort,sorted,100,2,0.000111
Merge Sort,sorted,100,3,0.000109
Merge Sort,sorted,100,4,0.000107
Merge Sort,sorted,100,5,0.000107
Merge Sort,sorted,100,6,0.000121
Merge Sort,sorted,100,7,0.000107
Merge Sort,sorted,100,8,0.000111
Merge Sort,sorted,100,9,0.000111
Merge Sort,sorted,100,10,0.000107
Merge Sort,sorted,100,11,0.000107
Merge Sort,sorted,100,12,0.000107
Merge Sort,sorted,100,13,0.000107
Merge Sort,sorted,100,14,0.000107
Merge Sort,sorted,500,0,0.000731
Merge Sort,sorted,500,1,0.000725
Merge Sort,sorted,500,2,0.000719
Merge Sort,sorted,500,3,0.000712
Merge Sort,sorted,500,4,0.000733
Merge Sort,sorted,500,5,0.000762
Merge Sort,sorted,500,6,0.000724
Merge Sort,sorted,500,7,0.000727
Merge Sort,sorted,500,8,0.00071
Merge Sort,sorted,500,9,0.000719
Merge Sort,sorted,500,10,0.000765
Merge Sort,sorted,500,11,0.000734
Merge Sort,sorted,500,12,0.00071
Merge Sort,sorted,500,13,0.000713
Merge Sort,sorted,500,14,0.00071
Merge Sort,sorted,1000,0,0.001666
Merge Sort,sorted,1000,1,0.001634
Merge Sort,sorted,1000,2,0.00164
Merge Sort,sorted,1000,3,0.001636
Merge Sort,sorted,1000,4,0.001628
Merge Sort,sorted,1000,5,0.001627
Merge Sort,sorted,1000,6,0.00162
Merge Sort,sorted,1000,7,0.001655
Merge Sort,sorted,1000,8,0.001678
Merge Sort,sorted,1000,9,0.001642
Merge Sort,sorted,1000,10,0.001676
Merge Sort,sorted,1000,11,0.001632
Merge Sort,sorted,1000,12,0.001627
Merge Sort,sorted,1000,13,0.001624
Merge Sort,sorted,1000,14,0.001732
Merge Sort,sorted,5000,0,0.011573
Merge Sort,sorted,5000,1,0.010301
Merge Sort,sorted,5000,2,0.010518
Merge Sort,sorted,5000,3,0.010514
Merge Sort,sorted,5000,4,0.010725
Merge Sort,sorted,5000,5,0.010448
Merge Sort,sorted,5000,6,0.010249
Merge Sort,sorted,5000,7,0.0103
Merge Sort,sorted,5000,8,0.010348
Merge Sort,sorted,5000,9,0.010286
Merge Sort,sorted,5000,10,0.010337
Merge Sort,sorted,5000,11,0.010331
Merge Sort,sorted,5000,12,0.01031
Merge Sort,sorted,5000,13,0.010611
Merge Sort,sorted,5000,14,0.010451
Merge Sort,sorted,10000,0,0.022757
Merge Sort,sorted,10000,1,0.023076
Merge Sort,sorted,10000,2,0.023067
Merge Sort,sorted,10000,3,0.024701
Merge Sort,sorted,10000,4,0.022895
Merge Sort,sorted,10000,5,0.02252
Merge Sort,sorted,10000,6,0.02238
Merge Sort,sorted,10000,7,0.022311
Merge Sort,sorted,10000,8,0.022372
Merge Sort,sorted,10000,9,0.0224
Merge Sort,sorted,10000,10,0.022043
Merge Sort,sorted,10000,11,0.022209
Merge Sort,sorted,10000,12,0.022406
Merge Sort,sorted,10000,13,0.038089
Merge Sort,sorted,10000,14,0.022658
Merge Sort,sorted,50000,0,0.131565
Merge Sort,sorted,50000,1,0.142158
Merge Sort,sorted,50000,2,0.13221
Merge Sort,sorted,50000,3,0.132558
Merge Sort,sorted,50000,4,0.129247
Merge Sort,sorted,50000,5,0.133894
Merge Sort,sorted,50000,6,0.129974
Merge Sort,sorted,50000,7,0.145232
Merge Sort,sorted,50000,8,0.132708
Merge Sort,sorted,50000,9,0.129811
Merge Sort,sorted,50000,10,0.131295
Merge Sort,sorted,50000,11,0.131154
Merge Sort,sorted,50000,12,0.129774
Merge Sort,sorted,50000,13,0.129117
Merge Sort,sorted,50000,14,0.132987
Merge Sort,sorted,100000,0,0.294835
Merge Sort,sorted,100000,1,0.278974
Merge Sort,sorted,100000,2,0.28091
Merge Sort,sorted,100000,3,0.29381
Merge Sort,sorted,100000,4,0.279182
Merge Sort,sorted,100000,5,0.277534
Merge Sort,sorted,100000,6,0.274533
Merge Sort,sorted,100000,7,0.298821
Merge Sort,sorted,100000,8,0.278068
Merge Sort,sorted,100000,9,0.274666
Merge Sort,sorted,100000,10,0.298332
Merge Sort,sorted,100000,11,0.278253
Merge Sort,sorted,100000,12,0.275705
Merge Sort,sorted,100000,13,0.276677
Merge Sort,sorted,100000,14,0.529763
Merge Sort,reverse,100,0,0.000237
Merge Sort,reverse,100,1,0.000236
Merge Sort,reverse,100,2,0.000229
Merge Sort,reverse,100,3,0.000242
Merge Sort,reverse,100,4,0.000228
Merge Sort,reverse,100,5,0.000234
Merge Sort,reverse,100,6,0.00023
Merge Sort,reverse,100,7,0.000243
Merge Sort,reverse,100,8,0.000227
Merge Sort,reverse,100,9,0.000236
Merge Sort,reverse,100,10,0.000229
Merge Sort,reverse,100,11,0.000247
Merge Sort,reverse,100,12,0.000227
Merge Sort,reverse,100,13,0.000254
Merge Sort,reverse,100,14,0.000229
Merge Sort,reverse,500,0,0.001555
Merge Sort,reverse,500,1,0.001545
Merge Sort,reverse,500,2,0.00153
Merge Sort,reverse,500,3,0.001539
Merge Sort,reverse,500,4,0.001532
Merge Sort,reverse,500,5,0.001528
Merge Sort,reverse,500,6,0.001527
Merge Sort,reverse,500,7,0.00153
Merge Sort,reverse,500,8,0.001554
Merge Sort,reverse,500,9,0.001525
Merge Sort,reverse,500,10,0.001531
Merge Sort,reverse,500,11,0.001475
Merge Sort,reverse,500,12,0.001493
Merge Sort,reverse,500,13,0.00152
Merge Sort,reverse,500,14,0.001528
Merge Sort,reverse,1000,0,0.003517
Merge Sort,reverse,1000,1,0.003265
Merge Sort,reverse,1000,2,0.00281
Merge Sort,reverse,1000,3,0.002909
Merge Sort,reverse,1000,4,0.002909
Merge Sort,reverse,1000,5,0.003013
Merge Sort,reverse,1000,6,0.003035
Merge Sort,reverse,1000,7,0.003013
Merge Sort,reverse,1000,8,0.003072
Merge Sort,reverse,1000,9,0.003236
Merge Sort,reverse,1000,10,0.003259
Merge Sort,reverse,1000,11,0.003177
Merge Sort,reverse,1000,12,0.003181
Merge Sort,reverse,1000,13,0.003213
Merge Sort,reverse,1000,14,0.003187
Merge Sort,reverse,5000,0,0.020784
Merge Sort,reverse,5000,1,0.019803
Merge Sort,reverse,5000,2,0.020078
Merge Sort,reverse,5000,3,0.019731
Merge Sort,reverse,5000,4,0.019865
Merge Sort,reverse,5000,5,0.01999
Merge Sort,reverse,5000,6,0.019883
Merge Sort,reverse,5000,7,0.019761
Merge Sort,reverse,5000,8,0.019885
Merge Sort,reverse,5000,9,0.019787
Merge Sort,reverse,5000,10,0.021357
Merge Sort,reverse,5000,11,0.023577
Merge Sort,reverse,5000,12,0.019879
Merge Sort,reverse,5000,13,0.019925
Merge Sort,reverse,5000,14,0.019934
Merge Sort,reverse,10000,0,0.043487
Merge Sort,reverse,10000,1,0.043368
Merge Sort,reverse,10000,2,0.043242
Merge Sort,reverse,10000,3,0.042738
Merge Sort,reverse,10000,4,0.04669
Merge Sort,reverse,10000,5,0.045414
Merge Sort,reverse,10000,6,0.054506
Merge Sort,reverse,10000,7,0.044703
Merge Sort,reverse,10000,8,0.046705
Merge Sort,reverse,10000,9,0.047531
Merge Sort,reverse,10000,10,0.047817
Merge Sort,reverse,10000,11,0.05009
Merge Sort,reverse,10000,12,0.048196
Merge Sort,reverse,10000,13,0.046744
Merge Sort,reverse,10000,14,0.04682
Merge Sort,reverse,50000,0,0.273668
Merge Sort,reverse,50000,1,0.236729
Merge Sort,reverse,50000,2,0.250581
Merge Sort,reverse,50000,3,0.237503
Merge Sort,reverse,50000,4,0.240498
Merge Sort,reverse,50000,5,0.130655
Merge Sort,reverse,50000,6,0.13374
Merge Sort,reverse,50000,7,0.131579
Merge Sort,reverse,50000,8,0.147088
Merge Sort,reverse,50000,9,0.130347
Merge Sort,reverse,50000,10,0.13022
Merge Sort,reverse,50000,11,0.13038
Merge Sort,reverse,50000,12,0.129873
Merge Sort,reverse,50000,13,0.130731
Merge Sort,reverse,50000,14,0.133517
Merge Sort,reverse,100000,0,0.298483
Merge Sort,reverse,100000,1,0.273237
Merge Sort,reverse,100000,2,0.281384
Merge Sort,reverse,100000,3,0.276981
Merge Sort,reverse,100000,4,0.290864
Merge Sort,reverse,100000,5,0.275652
Merge Sort,reverse,100000,6,0.280148
Merge Sort,reverse,100000,7,0.294823
Merge Sort,reverse,100000,8,0.273579
Merge Sort,reverse,100000,9,0.276997
Merge Sort,reverse,100000,10,0.282358
Merge Sort,reverse,100000,11,0.293813
Merge Sort,reverse,100000,12,0.273904
Merge Sort,reverse,100000,13,0.280656
Merge Sort,reverse,100000,14,0.277212
Merge Sort,nearly_sorted,100,0,0.000191
Merge Sort,nearly_sorted,100,1,0.000109
Merge Sort,nearly_sorted,100,2,0.000111
Merge Sort,nearly_sorted,100,3,0.000108
Merge Sort,nearly_sorted,100,4,0.000108
Merge Sort,nearly_sorted,100,5,0.000108
Merge Sort,nearly_sorted,100,6,0.000119
Merge Sort,nearly_sorted,100,7,0.000107
Merge Sort,nearly_sorted,100,8,0.000114
Merge Sort,nearly_sorted,100,9,0.000108
Merge Sort,nearly_sorted,100,10,0.00011
Merge Sort,nearly_sorted,100,11,0.000107
Merge Sort,nearly_sorted,100,12,0.000108
Merge Sort,nearly_sorted,100,13,0.000107
Merge Sort,nearly_sorted,100,14,0.00015
Merge Sort,nearly_sorted,500,0,0.001118
Merge Sort,nearly_sorted,500,1,0.001254
Merge Sort,nearly_sorted,500,2,0.001277
Merge Sort,nearly_sorted,500,3,0.001288
Merge Sort,nearly_sorted,500,4,0.001346
Merge Sort,nearly_sorted,500,5,0.001321
Merge Sort,nearly_sorted,500,6,0.001339
Merge Sort,nearly_sorted,500,7,0.001382
Merge Sort,nearly_sorted,500,8,0.001373
Merge Sort,nearly_sorted,500,9,0.001436
Merge Sort,nearly_sorted,500,10,0.001688
Merge Sort,nearly_sorted,500,11,0.001317
Merge Sort,nearly_sorted,500,12,0.001424
Merge Sort,nearly_sorted,500,13,0.001394
Merge Sort,nearly_sorted,500,14,0.001418
Merge Sort,nearly_sorted,1000,0,0.002941
Merge Sort,nearly_sorted,1000,1,0.003029
Merge Sort,nearly_sorted,1000,2,0.003001
Merge Sort,nearly_sorted,1000,3,0.002955
Merge Sort,nearly_sorted,1000,4,0.002481
Merge Sort,nearly_sorted,1000,5,0.001775
Merge Sort,nearly_sorted,1000,6,0.001715
Merge Sort,nearly_sorted,1000,7,0.001679
Merge Sort,nearly_sorted,1000,8,0.001647
Merge Sort,nearly_sorted,1000,9,0.001656
Merge Sort,nearly_sorted,1000,10,0.001634
Merge Sort,nearly_sorted,1000,11,0.001668
Merge Sort,nearly_sorted,1000,12,0.001652
Merge Sort,nearly_sorted,1000,13,0.001672
Merge Sort,nearly_sorted,1000,14,0.001656
Merge Sort,nearly_sorted,5000,0,0.010346
Merge Sort,nearly_sorted,5000,1,0.010822
Merge Sort,nearly_sorted,5000,2,0.010424
Merge Sort,nearly_sorted,5000,3,0.010944
Merge Sort,nearly_sorted,5000,4,0.01042
Merge Sort,nearly_sorted,5000,5,0.01039
Merge Sort,nearly_sorted,5000,6,0.010326
Merge Sort,nearly_sorted,5000,7,0.010282
Merge Sort,nearly_sorted,5000,8,0.010315
Merge Sort,nearly_sorted,5000,9,0.010228
Merge Sort,nearly_sorted,5000,10,0.010494
Merge Sort,nearly_sorted,5000,11,0.010333
Merge Sort,nearly_sorted,5000,12,0.010345
Merge Sort,nearly_sorted,5000,13,0.01102
Merge Sort,nearly_sorted,5000,14,0.010335
Merge Sort,nearly_sorted,10000,0,0.022432
Merge Sort,nearly_sorted,10000,1,0.022208
Merge Sort,nearly_sorted,10000,2,0.024351
Merge Sort,nearly_sorted,10000,3,0.022135
Merge Sort,nearly_sorted,10000,4,0.022121
Merge Sort,nearly_sorted,10000,5,0.022223
Merge Sort,nearly_sorted,10000,6,0.022642
Merge Sort,nearly_sorted,10000,7,0.02224
Merge Sort,nearly_sorted,10000,8,0.022363
